CMDLINE d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\.venv\Scripts\python.exe d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\antistasi_logbook\__main__.py
MEM 1.683594 1672725566.2496
MEM 21.527344 1672725566.3613
MEM 31.890625 1672725566.4710
MEM 40.035156 1672725566.5787
MEM 48.425781 1672725566.6874
MEM 53.816406 1672725566.7951
MEM 61.386719 1672725566.9028
MEM 69.425781 1672725567.0115
MEM 86.710938 1672725567.1202
MEM 95.878906 1672725567.2290
MEM 99.921875 1672725567.3357
MEM 101.496094 1672725567.4454
MEM 103.417969 1672725567.5521
MEM 113.058594 1672725567.6618
MEM 114.003906 1672725567.7685
MEM 115.113281 1672725567.8772
MEM 116.207031 1672725567.9859
MEM 122.628906 1672725568.0936
MEM 127.875000 1672725568.2024
MEM 130.742188 1672725568.3111
MEM 134.730469 1672725568.4188
MEM 144.746094 1672725568.5265
MEM 148.085938 1672725568.6352
MEM 154.242188 1672725568.7439
MEM 158.554688 1672725568.8517
MEM 158.679688 1672725568.9604
MEM 174.214844 1672725569.0671
MEM 192.183594 1672725569.1768
MEM 192.703125 1672725569.2835
MEM 192.945312 1672725569.3931
MEM 203.546875 1672725569.5019
MEM 205.414062 1672725569.6106
MEM 207.117188 1672725569.7193
MEM 207.332031 1672725569.8263
MEM 209.156250 1672725569.9419
MEM 219.980469 1672725570.0586
MEM 223.023438 1672725570.1663
MEM 226.031250 1672725570.2741
MEM 226.031250 1672725570.3818
MEM 226.031250 1672725570.4905
MEM 226.031250 1672725570.5990
MEM 226.031250 1672725570.7080
MEM 226.031250 1672725570.8168
MEM 226.031250 1672725570.9248
MEM 226.039062 1672725571.0344
MEM 226.039062 1672725571.1428
MEM 235.496094 1672725571.2528
MEM 235.496094 1672725571.3622
MEM 235.496094 1672725571.4706
MEM 235.496094 1672725571.5808
MEM 235.496094 1672725571.6987
MEM 235.496094 1672725571.8135
MEM 235.535156 1672725571.9239
MEM 237.160156 1672725572.0306
MEM 237.191406 1672725572.1383
MEM 237.203125 1672725572.2448
MEM 237.253906 1672725572.3535
MEM 237.253906 1672725572.4613
MEM 237.253906 1672725572.5700
MEM 237.253906 1672725572.6788
MEM 237.253906 1672725572.7861
MEM 237.253906 1672725572.8973
MEM 237.253906 1672725573.0055
MEM 237.253906 1672725573.1127
MEM 237.253906 1672725573.2232
MEM 237.253906 1672725573.3310
MEM 237.375000 1672725573.4400
MEM 237.382812 1672725573.5488
MEM 237.382812 1672725573.6577
MEM 237.382812 1672725573.7657
MEM 237.382812 1672725573.8732
MEM 237.582031 1672725573.9842
MEM 237.957031 1672725574.0919
MEM 237.957031 1672725574.2016
MEM 237.960938 1672725574.3093
MEM 237.960938 1672725574.4180
MEM 237.960938 1672725574.5257
MEM 240.835938 1672725574.6334
MEM 240.847656 1672725574.7420
MEM 240.847656 1672725574.8524
MEM 240.953125 1672725574.9616
MEM 240.953125 1672725575.0686
MEM 239.875000 1672725575.1775
MEM 239.898438 1672725575.2874
MEM 239.898438 1672725575.3980
MEM 239.898438 1672725575.5059
MEM 239.898438 1672725575.6151
MEM 239.898438 1672725575.7276
MEM 239.898438 1672725575.8353
MEM 239.898438 1672725575.9450
MEM 239.898438 1672725576.0529
MEM 239.898438 1672725576.1633
MEM 239.898438 1672725576.2739
MEM 239.898438 1672725576.3877
MEM 239.898438 1672725576.4920
MEM 239.902344 1672725576.6073
MEM 239.902344 1672725576.7109
MEM 239.902344 1672725576.8295
MEM 239.906250 1672725576.9463
MEM 239.906250 1672725577.0546
MEM 239.906250 1672725577.1691
MEM 239.914062 1672725577.2741
MEM 239.914062 1672725577.3844
MEM 239.914062 1672725577.4950
MEM 239.914062 1672725577.6043
MEM 239.914062 1672725577.7128
MEM 239.914062 1672725577.8224
MEM 239.914062 1672725577.9326
MEM 239.914062 1672725578.0416
MEM 239.914062 1672725578.1495
MEM 239.914062 1672725578.2585
MEM 239.914062 1672725578.3683
MEM 239.914062 1672725578.4771
MEM 239.914062 1672725578.5862
MEM 239.914062 1672725578.6934
MEM 239.914062 1672725578.8011
MEM 239.914062 1672725578.9100
MEM 239.914062 1672725579.0185
MEM 239.914062 1672725579.1282
MEM 239.914062 1672725579.2372
MEM 239.914062 1672725579.3459
MEM 239.914062 1672725579.4571
MEM 239.914062 1672725579.5636
MEM 239.914062 1672725579.6719
MEM 239.914062 1672725579.7873
MEM 239.914062 1672725579.8938
MEM 239.914062 1672725580.0018
MEM 239.914062 1672725580.1106
MEM 239.914062 1672725580.2190
MEM 239.914062 1672725580.3264
MEM 239.914062 1672725580.4359
MEM 239.914062 1672725580.5542
MEM 239.914062 1672725580.6713
MEM 239.914062 1672725580.7837
MEM 239.914062 1672725580.8890
MEM 239.914062 1672725580.9981
MEM 239.914062 1672725581.1072
MEM 239.914062 1672725581.2158
MEM 239.914062 1672725581.3241
MEM 239.914062 1672725581.4338
MEM 239.914062 1672725581.5416
MEM 239.914062 1672725581.6528
MEM 239.914062 1672725581.7594
MEM 239.914062 1672725581.8684
MEM 239.914062 1672725581.9790
MEM 239.914062 1672725582.0872
MEM 239.914062 1672725582.1960
MEM 239.914062 1672725582.3040
MEM 239.914062 1672725582.4125
MEM 239.914062 1672725582.5235
MEM 239.914062 1672725582.6314
MEM 239.914062 1672725582.7433
MEM 239.914062 1672725582.8507
MEM 239.914062 1672725582.9578
MEM 239.914062 1672725583.0667
MEM 239.914062 1672725583.1756
MEM 239.914062 1672725583.2837
MEM 239.914062 1672725583.3926
MEM 239.914062 1672725583.5015
MEM 239.914062 1672725583.6106
MEM 239.914062 1672725583.7196
MEM 239.914062 1672725583.8292
MEM 239.914062 1672725583.9372
MEM 239.914062 1672725584.0451
MEM 239.914062 1672725584.1538
MEM 239.914062 1672725584.2629
MEM 239.921875 1672725584.3733
MEM 239.921875 1672725584.4799
MEM 239.921875 1672725584.5897
MEM 239.921875 1672725584.6964
MEM 239.921875 1672725584.8051
MEM 239.921875 1672725584.9130
MEM 239.921875 1672725585.0253
MEM 239.921875 1672725585.1310
MEM 239.921875 1672725585.2411
MEM 239.921875 1672725585.3507
MEM 239.921875 1672725585.4594
MEM 239.921875 1672725585.5671
MEM 239.921875 1672725585.6758
MEM 239.921875 1672725585.7835
MEM 239.921875 1672725585.8922
MEM 239.921875 1672725585.9999
MEM 239.921875 1672725586.1087
MEM 239.921875 1672725586.2175
MEM 239.921875 1672725586.3357
MEM 239.921875 1672725586.4591
MEM 239.921875 1672725586.5766
MEM 239.921875 1672725586.6903
MEM 239.921875 1672725586.7971
MEM 239.921875 1672725586.9045
MEM 239.921875 1672725587.0132
MEM 239.921875 1672725587.1219
MEM 239.921875 1672725587.2297
MEM 239.921875 1672725587.3371
MEM 239.921875 1672725587.4459
MEM 239.921875 1672725587.5548
MEM 239.921875 1672725587.6642
MEM 239.921875 1672725587.7726
MEM 239.921875 1672725587.8815
MEM 239.921875 1672725587.9905
MEM 239.921875 1672725588.0995
MEM 239.921875 1672725588.2082
MEM 239.921875 1672725588.3169
MEM 239.921875 1672725588.4256
MEM 239.921875 1672725588.5333
MEM 239.921875 1672725588.6412
MEM 239.921875 1672725588.7557
MEM 239.921875 1672725588.8609
MEM 239.921875 1672725588.9794
MEM 239.921875 1672725589.0955
MEM 239.921875 1672725589.2040
MEM 239.921875 1672725589.3136
MEM 239.921875 1672725589.4250
MEM 239.921875 1672725589.5308
MEM 239.921875 1672725589.6388
MEM 239.921875 1672725589.7476
MEM 239.921875 1672725589.8555
MEM 239.921875 1672725589.9654
MEM 239.921875 1672725590.0736
MEM 239.921875 1672725590.1824
MEM 239.921875 1672725590.2901
MEM 239.921875 1672725590.3991
MEM 239.921875 1672725590.5078
MEM 239.921875 1672725590.6262
MEM 239.925781 1672725590.7420
MEM 239.925781 1672725590.8498
MEM 239.925781 1672725590.9588
MEM 239.925781 1672725591.0691
MEM 239.925781 1672725591.1760
MEM 239.925781 1672725591.2847
MEM 239.925781 1672725591.3924
MEM 239.925781 1672725591.5011
MEM 239.925781 1672725591.6088
MEM 239.925781 1672725591.7267
MEM 239.925781 1672725591.8442
MEM 240.105469 1672725591.9510
MEM 240.105469 1672725592.0588
MEM 240.335938 1672725592.1675
MEM 240.335938 1672725592.2752
MEM 240.660156 1672725592.3841
MEM 240.660156 1672725592.4972
MEM 240.660156 1672725592.6041
MEM 241.093750 1672725592.7140
MEM 241.738281 1672725592.8219
MEM 241.753906 1672725592.9307
MEM 241.757812 1672725593.0388
MEM 241.757812 1672725593.1476
MEM 241.757812 1672725593.2557
MEM 241.757812 1672725593.3647
MEM 241.757812 1672725593.4736
MEM 241.773438 1672725593.5818
MEM 241.773438 1672725593.6905
MEM 241.773438 1672725593.7995
MEM 241.773438 1672725593.9083
MEM 241.773438 1672725594.0166
MEM 241.773438 1672725594.1232
MEM 241.773438 1672725594.2329
MEM 241.773438 1672725594.3420
MEM 241.773438 1672725594.4531
MEM 241.773438 1672725594.5601
MEM 241.773438 1672725594.6688
MEM 241.773438 1672725594.7780
MEM 241.773438 1672725594.8911
MEM 241.773438 1672725594.9968
MEM 241.980469 1672725595.1044
MEM 241.980469 1672725595.2165
MEM 241.980469 1672725595.3227
MEM 241.980469 1672725595.4344
MEM 241.980469 1672725595.5399
MEM 241.980469 1672725595.6498
MEM 241.980469 1672725595.7592
MEM 241.980469 1672725595.8681
MEM 241.980469 1672725595.9796
MEM 242.078125 1672725596.0877
MEM 242.195312 1672725596.1975
MEM 245.378906 1672725596.3065
MEM 245.394531 1672725596.4146
MEM 245.453125 1672725596.5236
MEM 245.644531 1672725596.6314
MEM 250.320312 1672725596.7401
MEM 251.507812 1672725596.8493
MEM 253.093750 1672725596.9607
